year,date,stage,unit_id,job_number,issue,raw_file
2010,20101024,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101030,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101031,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101106,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101107,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101114,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101121,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101128,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101204,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101205,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101212,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101219,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101226,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110101,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110102,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110108,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110109,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110115,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110116,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110123,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110129,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110130,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110202,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110203,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110204,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110205,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110206,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110207,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110212,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110213,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110219,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110220,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110226,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110227,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110228,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110305,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110306,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110312,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110313,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110320,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110326,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110327,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110403,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110404,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110405,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110409,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110410,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110416,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110417,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110424,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110430,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110501,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110507,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110508,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110514,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110515,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110521,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110522,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110529,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110604,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110605,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110606,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110611,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110612,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110618,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110619,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110625,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110626,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110703,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110710,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110716,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110717,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110719,normalize,3.76.55.5,1000707,缺少可解析的決標金額,data/raw/hualien/2011/tenders/20110719_3.76.55.5_1000707.json
2011,20110723,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110724,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110730,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110731,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110807,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110813,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110814,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110821,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110827,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110828,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110903,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110904,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110910,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110911,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110912,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110918,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110924,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20110925,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111001,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111002,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111008,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111009,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111010,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111015,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111016,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111022,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111023,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111029,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111030,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111105,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111106,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111112,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111113,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111119,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111120,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111126,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111127,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111204,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111210,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111211,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111218,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111224,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111225,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2011,20111231,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120101,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120107,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120108,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120114,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120115,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120121,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120122,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120123,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120124,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120125,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120126,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2012,20120127,daily,,,非 JSON 回應：text/html; charset=UTF-8,
