year,date,stage,unit_id,job_number,issue,raw_file
2021,20210101,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210102,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210103,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210109,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210110,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210112,normalize,3.76.55,sk1090002418,缺少可解析的決標金額,data/raw/hualien/2021/tenders/20210112_3.76.55_sk1090002418.json
2021,20210116,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210117,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210123,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210124,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210130,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210131,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210206,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210207,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210210,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210211,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210212,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210213,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210214,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210215,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210216,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210221,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210227,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210228,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210301,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210306,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210307,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210313,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210314,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210320,daily,,,非 JSON 回應：text/html; charset=UTF-8,
