year,date,stage,unit_id,job_number,issue,raw_file
2014,20140118,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140130,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140201,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140202,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140203,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140209,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140223,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140301,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140309,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140316,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140405,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140406,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140413,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140420,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140501,normalize,3.76.55,103VOS,缺少得標廠商,data/raw/hualien/2014/tenders/20140501_3.76.55_103VOS.json
2014,20140503,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140511,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140518,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140525,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140607,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140810,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140828,normalize,3.76.55.97.70,glps103003,缺少可解析的決標金額,data/raw/hualien/2014/tenders/20140828_3.76.55.97.70_glps103003.json
2014,20140908,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20140921,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20141011,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20141102,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20141123,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2014,20141213,daily,,,非 JSON 回應：text/html; charset=UTF-8,
