case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.76.55|AC1030001107|20150105|aaa-51462112,2015,20150105,2014-12-18,3.76.55,花蓮縣政府,AC1030001107,104年度單位會計管理系統,<勞務類>842軟體執行服務,限制性招標(未經公開評選或公開徵求),最低標,380000,370000,1,力歐科技股份有限公司,花蓮縣(原住民地區),花蓮縣－全區,104/01/01－104/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NTE0NjIxMTI=,data/raw/hualien/2015/tenders/20150105_3.76.55_AC1030001107.json
3.76.55|AC1030001108|20150105|aaa-51462076,2015,20150105,2014-12-18,3.76.55,花蓮縣政府,AC1030001108,104年度單位預算及總預算管理、地方教育發展基金預算系統維護,<勞務類>842軟體執行服務,限制性招標(未經公開評選或公開徵求),最低標,216500,210000,1,力歐科技股份有限公司,花蓮縣(原住民地區),花蓮縣－全區,104/01/01－104/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NTE0NjIwNzY=,data/raw/hualien/2015/tenders/20150105_3.76.55_AC1030001108.json
3.76.55|SK1030001698|20150105|aaa-51461409,2015,20150105,2014-12-30,3.76.55,花蓮縣政府,SK1030001698,104年音響租賃開口契約,"<財物類>47收音機、電視,通訊器材及儀器",公開取得報價單或企劃書,最低標,700000,650000,1,鏹聲灯光音响,花蓮縣(原住民地區),花蓮縣－全區,104/01/01－104/12/31,,,,0,1,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NTE0NjE0MDk=,data/raw/hualien/2015/tenders/20150105_3.76.55_SK1030001698.json
3.76.55.3.5|EPB10312030001|20150105|BDM-1-51459918,2015,20150105,2014-12-27,3.76.55.3.5,花蓮縣環境保護局,EPB10312030001,104年度花蓮縣水環境維護管理計畫,<勞務類>865管理顧問服務,限制性招標(經公開評選或公開徵求),準用最有利標,2884600,2750000,1,信安工程顧問股份有限公司,花蓮縣(原住民地區),花蓮縣－全區,104/01/01－104/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51459918.xml,data/raw/hualien/2015/tenders/20150105_3.76.55.3.5_EPB10312030001.json
3.76.55.51|1030034820|20150105|BDM-1-51460899,2015,20150105,2014-12-31,3.76.55.51,花蓮縣花蓮市公所,1030034820,配合花蓮市2-18計畫道路之周邊道路排水系統改善工程,<工程類>5139其他土木工程,公開招標,最低標,1241500,885800,1,長逸營造有限公司,花蓮縣(原住民地區),花蓮縣－花蓮,104/01/20－104/03/05,,,排水清淤,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460899.xml,data/raw/hualien/2015/tenders/20150105_3.76.55.51_1030034820.json
3.76.55.53|1031225-1|20150105|aaa-51462229,2015,20150105,2014-12-30,3.76.55.53,花蓮縣玉里鎮公所,1031225-1,春日里織羅部落老人日間關懷站設施修繕工程,<工程類>5139其他土木工程,公開取得報價單或企劃書,最低標,263550,257000,1,永發土木包工業,花蓮縣(原住民地區),花蓮縣－玉里,104/01/09－104/02/18,,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NTE0NjIyMjk=,data/raw/hualien/2015/tenders/20150105_3.76.55.53_1031225-1.json
3.76.55.53|1031231-4|20150105|BDM-1-51460985,2015,20150105,2014-12-31,3.76.55.53,花蓮縣玉里鎮公所,1031231-4,民族樓二樓內部設施改善工程修繕計畫,<工程類>5139其他土木工程,限制性招標(未經公開評選或公開徵求),最低標,1181612,1168000,1,宥興土木包工業,花蓮縣(原住民地區),花蓮縣－玉里,103/12/31－104/03/02,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460985.xml,data/raw/hualien/2015/tenders/20150105_3.76.55.53_1031231-4.json
3.76.55.54|1007101006|20150105|BDM-1-51460169,2015,20150105,2011-03-01,3.76.55.54,花蓮縣新城鄉公所,1007101006,100年度災害搶險(修)採購開口契約,<工程類>5139其他土木工程,公開招標,最低標,1400000,1260000,1,良益土木包工業,花蓮縣(原住民地區),花蓮縣－新城,100/03/07－100/12/15,,,,0,1,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460169.xml,data/raw/hualien/2015/tenders/20150105_3.76.55.54_1007101006.json
3.76.55.54|997301005|20150105|BDM-1-51459945,2015,20150105,2010-02-12,3.76.55.54,花蓮縣新城鄉公所,997301005,99年度雨水下水道清淤計劃工程,<工程類>5139其他土木工程,公開招標,最低標,3000000,2070000,1,亞順營造有限公司,花蓮縣(原住民地區),花蓮縣－新城,099/02/25－099/04/15,,,排水清淤,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51459945.xml,data/raw/hualien/2015/tenders/20150105_3.76.55.54_997301005.json
3.76.55.55|dk2110312032|20150105|BDM-1-51460845,2015,20150105,2014-12-30,3.76.55.55,花蓮縣吉安鄉公所,dk2110312032,慈雲山懷恩園區環保植葬區設置工程,<工程類>5139其他土木工程,公開招標,最低標,5337296,5240000,1,雄豐營造有限公司,花蓮縣(原住民地區),花蓮縣－吉安,103/12/30－104/05/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460845.xml,data/raw/hualien/2015/tenders/20150105_3.76.55.55_dk2110312032.json
3.76.55.57|1030015639|20150105|BDM-1-51459915,2015,20150105,2014-12-31,3.76.55.57,花蓮縣光復鄉公所,1030015639,利哈岸野溪清疏工程,<工程類>5139其他土木工程,公開招標,最低標,1067846,678000,1,溢盛土木包工業,花蓮縣(原住民地區),花蓮縣－光復,104/01/19－104/02/17,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51459915.xml,data/raw/hualien/2015/tenders/20150105_3.76.55.57_1030015639.json
3.76.55.58|103121601|20150105|BDM-1-51460089,2015,20150105,2014-12-30,3.76.55.58,花蓮縣豐濱鄉公所,103121601,磯崎村產業道路改善等3件工程,<工程類>5139其他土木工程,公開招標,最低標,4705184,4670000,1,大安土木包工業,花蓮縣(原住民地區),花蓮縣－豐濱,104/01/06－104/05/05,,,道路養護,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51460089.xml,data/raw/hualien/2015/tenders/20150105_3.76.55.58_103121601.json
3.76.55.96.6|1021223|20150105|BDM-1-51461046,2015,20150105,2014-12-30,3.76.55.96.6,花蓮縣立萬榮國民中學,1021223,花蓮縣萬榮國中運動場地整建工程採購,<工程類>5137運動及娛樂工程,公開取得報價單或企劃書,最低標,145000,128000,1,和平企業社,花蓮縣(原住民地區),花蓮縣－鳳林,103/12/30－104/01/23,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150105&fn=BDM-1-51461046.xml,data/raw/hualien/2015/tenders/20150105_3.76.55.96.6_1021223.json
3.76.55|AB1030002579|20150106|aaa-51464416,2015,20150106,2014-12-30,3.76.55,花蓮縣政府,AB1030002579,花蓮縣原住民樂舞人才培訓計畫規劃案,<勞務類>92教育服務,限制性招標(未經公開評選或公開徵求),最低標,200000,200000,1,社團法人花蓮縣原住民族公共事務促進會,花蓮縣(原住民地區),花蓮縣－全區,104/01/09－104/03/09,,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NTE0NjQ0MTY=,data/raw/hualien/2015/tenders/20150106_3.76.55_AB1030002579.json
3.76.55|AG103121001|20150106|BDM-1-51462676,2015,20150106,2014-12-23,3.76.55,花蓮縣政府,AG103121001,長良7-9鄰農路災害修復工程,<工程類>5139其他土木工程,公開招標,最低標,4523268,3900000,1,金壹土木包工業,花蓮縣(原住民地區),花蓮縣－玉里,103/12/23－104/08/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20150106&fn=BDM-1-51462676.xml,data/raw/hualien/2015/tenders/20150106_3.76.55_AG103121001.json
