case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.76.55|AB1100003563-2|20240102|BDM-1-70475176,2024,20240102,2023-12-28,3.76.55,花蓮縣政府,AB1100003563-2,原住民族傳統藝術豐羽計畫工程-第二次契約變更,<工程類>5129其他用途建築工程,限制性招標(未經公開評選或公開徵求),最低標,6126286,5839972,1,長富營造有限公司,花蓮縣(原住民地區),花蓮縣－光復,112/12/28－113/04/29(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70475176.xml,data/raw/hualien/2024/tenders/20240102_3.76.55_AB1100003563-2.json
3.76.55|EA1120003004|20240102|BDM-1-70476598,2024,20240102,2023-12-28,3.76.55,花蓮縣政府,EA1120003004,花蓮市金三角周邊停車規劃暨大禹街14號立體停車場可行性評估案,<勞務類>864市場研究及公眾意見調查服務,經公開評選或公開徵求之限制性招標,準用最有利標,6600000,6600000,1,台灣博特顧問股份有限公司,花蓮縣(原住民地區),花蓮縣－花蓮,112/12/28－114/03/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70476598.xml,data/raw/hualien/2024/tenders/20240102_3.76.55_EA1120003004.json
3.76.55|EA112012529|20240102|BDM-1-70475280,2024,20240102,2023-12-22,3.76.55,花蓮縣政府,EA112012529,清水溪下邊坡風災搶修工程,<工程類>5139其他土木工程,限制性招標(未經公開評選或公開徵求),最低標,25793739,24504052,1,東鈺營造股份有限公司,花蓮縣(原住民地區),花蓮縣－秀林,113/01/12－113/08/30(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70475280.xml,data/raw/hualien/2024/tenders/20240102_3.76.55_EA112012529.json
3.76.55|ED111112401-1|20240102|aaa-70477758,2024,20240102,2023-12-12,3.76.55,花蓮縣政府,ED111112401-1,花蓮縣112年度公立國民中小學消防安全設備檢查申報-後續擴充,<勞務類>8672工程服務,限制性招標(未經公開評選或公開徵求),最低標,693200,515500,1,聯慶機電消防保養有限公司,花蓮縣(原住民地區),花蓮縣－全區,113/01/01－113/03/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzA0Nzc3NTg=,data/raw/hualien/2024/tenders/20240102_3.76.55_ED111112401-1.json
3.76.55|PN1120002901|20240102|aaa-70478751,2024,20240102,2023-12-19,3.76.55,花蓮縣政府,PN1120002901,花蓮縣政府及所屬一級機關112年歲末員工聯歡餐會勞務採購案,<勞務類>642提供食物服務,公開取得報價單或企劃書,參考最有利標精神,1360000,1360000,1,遠雄悅來大飯店股份有限公司,花蓮縣(原住民地區),花蓮縣－花蓮,113/01/25－113/01/25(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzA0Nzg3NTE=,data/raw/hualien/2024/tenders/20240102_3.76.55_PN1120002901.json
3.76.55|SC1120009641|20240102|BDM-1-70474943,2024,20240102,2023-12-28,3.76.55,花蓮縣政府,SC1120009641,113年度花蓮縣政府社會處勞資科電腦資訊設備租賃暨維護案,<財物類>452計算機及其零件與配件,公開招標,最有利標,792000,792000,1,大同股份有限公司花蓮分公司,花蓮縣(原住民地區),花蓮縣－全區,113/01/01－114/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70474943.xml,data/raw/hualien/2024/tenders/20240102_3.76.55_SC1120009641.json
3.76.55|SK1120001918-1|20240102|BDM-1-70475404,2024,20240102,2023-12-29,3.76.55,花蓮縣政府,SK1120001918-1,2023花蓮幸福聖誕城佈置採購後續擴充,"<勞務類>96娛樂,文化,體育服務",限制性招標(未經公開評選或公開徵求),最低標,500000,500000,1,天衍互動股份有限公司,花蓮縣(原住民地區),花蓮縣－全區,113/01/01－113/01/14,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70475404.xml,data/raw/hualien/2024/tenders/20240102_3.76.55_SK1120001918-1.json
3.76.55.2|PO1121127|20240102|BDM-1-70475889,2024,20240102,2023-12-28,3.76.55.2,花蓮縣警察局,PO1121127,花蓮縣警察局「精進員警執勤安全方案2.0」裝備－微型攝影機採購案,"<財物類>483光學儀器,攝影設備及其零件與附件",公開招標,最低標,3380000,1987440,1,神鵬實業有限公司,花蓮縣(原住民地區),花蓮縣－全區,112/12/28－113/04/05(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70475889.xml,data/raw/hualien/2024/tenders/20240102_3.76.55.2_PO1121127.json
3.76.55.28|AP112143008|20240102|BDM-1-70475337,2024,20240102,2023-12-18,3.76.55.28,花蓮縣文化局,AP112143008,花蓮港放送局常態策展,"<勞務類>96娛樂,文化,體育服務",限制性招標(未經公開評選或公開徵求),最低標,5000000,5000000,1,離方文化事業有限公司,花蓮縣(原住民地區),花蓮縣－全區,112/12/18－113/03/29,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70475337.xml,data/raw/hualien/2024/tenders/20240102_3.76.55.28_AP112143008.json
3.76.55.3.5|EPB-113-02-01|20240102|BDM-1-70476371,2024,20240102,2023-12-27,3.76.55.3.5,花蓮縣環境保護局,EPB-113-02-01,113年度花蓮縣空氣污染防制暨空氣品質分析計畫,<勞務類>865管理顧問服務,經公開評選或公開徵求之限制性招標,準用最有利標,8828000,8630000,1,康廷工程顧問企業有限公司,花蓮縣(原住民地區),花蓮縣－全區,113/01/01－113/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70476371.xml,data/raw/hualien/2024/tenders/20240102_3.76.55.3.5_EPB-113-02-01.json
