case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.76.55|AB1140007419|20260102|aaa-71074672,2026,20260102,2025-12-15,3.76.55,花蓮縣政府,AB1140007419,115年花蓮縣臺灣原住民族文化館清潔維護勞務採購案,<勞務類>94污水及垃圾處理、公共衛生及其他環保服務,公開取得報價單或企劃書,參考最有利標精神,800000,800000,1,長鴻環境工程行,花蓮縣(原住民地區),花蓮縣－花蓮,115/01/01－115/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzEwNzQ2NzI=,data/raw/hualien/2026/tenders/20260102_3.76.55_AB1140007419.json
3.76.55|AG1141021|20260102|BDM-1-71072866,2026,20260102,2025-12-26,3.76.55,花蓮縣政府,AG1141021,115花蓮縣農業工程委託技術服務工作開口契約,<勞務類>8672工程服務,經公開評選或公開徵求之限制性招標,準用最有利標,18000000,18000000,3,安誼工程顧問有限公司；柏喬工程顧問有限公司；創源技術顧問有限公司,花蓮縣(原住民地區),花蓮縣－全區,115/01/01－115/12/31(預估),,,,0,1,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20260102&fn=BDM-1-71072866.xml,data/raw/hualien/2026/tenders/20260102_3.76.55_AG1141021.json
3.76.55|IP114120801|20260102|BDM-1-71072318,2026,20260102,2025-12-30,3.76.55,花蓮縣政府,IP114120801,玉里鎮樂合里社區道路及水溝改善工程,"<工程類>5131快速道路(不含高架快速道路),街道,馬路,鐵路及機場跑道",公開招標,最低標,2535380,2220000,1,平順土木包工業,花蓮縣(原住民地區),花蓮縣－玉里,115/03/16－115/06/16(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20260102&fn=BDM-1-71072318.xml,data/raw/hualien/2026/tenders/20260102_3.76.55_IP114120801.json
3.76.55|RA113102501-1|20260102|BDM-1-71071822,2026,20260102,2025-12-19,3.76.55,花蓮縣政府,RA113102501-1,114年度加強公務和諧連繫－蝴蝶蘭花盆栽、高架花籃採購(開口契約)後續擴充案,"<財物類>01農業,園藝及市場園藝產品",限制性招標(未經公開評選或公開徵求),最低標,4052500,4052500,2,秀朗蘭藝；玫瑰園鮮花店,花蓮縣(原住民地區),花蓮縣－全區,115/01/01－115/12/31,,,,0,1,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20260102&fn=BDM-1-71071822.xml,data/raw/hualien/2026/tenders/20260102_3.76.55_RA113102501-1.json
3.76.55|SC1130023264-1|20260102|BDM-1-71073770,2026,20260102,2025-12-18,3.76.55,花蓮縣政府,SC1130023264-1,115年花蓮縣強化獨居老人關懷服務勞務採購案,<勞務類>933社會服務,限制性招標(未經公開評選或公開徵求),最低標,6300000,5803560,1,"台灣新光保全股份有限公司 (TAIWAN SHIN KONG SECURITY CO., LTD)",花蓮縣(原住民地區),花蓮縣－全區,115/01/01－115/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20260102&fn=BDM-1-71073770.xml,data/raw/hualien/2026/tenders/20260102_3.76.55_SC1130023264-1.json
3.76.55.13|U11505|20260102|BDM-1-71071727,2026,20260102,2025-12-31,3.76.55.13,花蓮縣地方稅務局,U11505,花蓮縣地方稅務局「115年度總局環境清潔委外服務採購案」,<勞務類>874建築物清潔服務,經公開評選或公開徵求之限制性招標,準用最有利標,1269156,1269156,1,羽亭工程行,花蓮縣(原住民地區),花蓮縣－花蓮,115/01/01－115/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20260102&fn=BDM-1-71071727.xml,data/raw/hualien/2026/tenders/20260102_3.76.55.13_U11505.json
3.76.55.20|FI1131025OB-1|20260102|BDM-1-71072967,2026,20260102,2025-12-11,3.76.55.20,花蓮縣消防局,FI1131025OB-1,115年資訊網路暨災害應變中心維護案,<勞務類>845辦公室機器及設備(包括電腦)之維修服務,限制性招標(未經公開評選或公開徵求),最低標,2087000,2087000,1,中華電信股份有限公司企業客戶分公司,花蓮縣(原住民地區),花蓮縣－全區,115/01/01－115/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20260102&fn=BDM-1-71072967.xml,data/raw/hualien/2026/tenders/20260102_3.76.55.20_FI1131025OB-1.json
3.76.55.28|CU1140011212|20260102|BDM-1-71071375,2026,20260102,2025-12-23,3.76.55.28,花蓮縣文化局,CU1140011212,花蓮縣新建圖書館資訊設備及系統建置,<勞務類>886附帶於金屬產品、機械及設備維修之服務,經公開評選或公開徵求之限制性招標,準用最有利標,13980000,13550000,1,神通資訊科技股份有限公司 (MiTAC Information Technology Corp.),花蓮縣(原住民地區),花蓮縣－全區,114/12/23－115/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20260102&fn=BDM-1-71071375.xml,data/raw/hualien/2026/tenders/20260102_3.76.55.28_CU1140011212.json
3.76.55.28|CU1141211|20260102|BDM-1-71072858,2026,20260102,2025-12-29,3.76.55.28,花蓮縣文化局,CU1141211,花蓮菸葉廠園區公廁新建工程,<工程類>5129其他用途建築工程,公開招標,最低標,16608204,14800000,1,台盛營造股份有限公司,花蓮縣(原住民地區),花蓮縣－吉安,114/12/29－115/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20260102&fn=BDM-1-71072858.xml,data/raw/hualien/2026/tenders/20260102_3.76.55.28_CU1141211.json
3.76.55.51|1140035874|20260102|BDM-1-71072113,2026,20260102,2025-12-31,3.76.55.51,花蓮縣花蓮市公所,1140035874,花蓮市清潔隊各型車輛備胎購置及輪胎維修,<財物類>361橡膠輪胎和內胎,公開招標,最低標,1100000,789800,1,吉順輪胎,花蓮縣(原住民地區),花蓮縣－花蓮,115/01/01－115/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20260102&fn=BDM-1-71072113.xml,data/raw/hualien/2026/tenders/20260102_3.76.55.51_1140035874.json
