case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.76.55|BE102121701|20140102|BDM-1-51154253,2014,20140102,2013-12-31,3.76.55,花蓮縣政府,BE102121701,花蓮縣中正國小PU跑道整建工程,<工程類>5137運動及娛樂工程,公開招標,最低標,3442845,2730000,1,聚鑫營造有限公司,花蓮縣(原住民地區),花蓮縣－花蓮,103/01/15－103/06/30,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51154253.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_BE102121701.json
3.76.55|BS102120601|20140102|BDM-1-51154034,2014,20140102,2013-12-24,3.76.55,花蓮縣政府,BS102120601,花蓮縣103年度「幸福花蓮」三節生活物資發放採購案,"<財物類>23穀粉,澱粉及澱粉製品;其他食品",公開招標,最低標,12500000,12000000,1,有限責任花蓮縣龍鳯甲稻米運銷合作社,花蓮縣(原住民地區),花蓮縣－全區,103/01/01－103/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51154034.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_BS102120601.json
3.76.55|LA102122001|20140102|BDM-1-51154006,2014,20140102,2013-12-25,3.76.55,花蓮縣政府,LA102122001,花蓮縣鳳林地政事務所103年地政資訊整合作業系統軟硬體設備維護及諮詢服務,<勞務類>844資料庫服務,公開取得報價單或企劃書,最低標,650000,617500,1,精誠系統股份有限公司,花蓮縣(原住民地區),花蓮縣－鳳林,103/01/01－103/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51154006.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_LA102122001.json
3.76.55|SK1020001648|20140102|BDM-1-51152300,2014,20140102,2013-12-26,3.76.55,花蓮縣政府,SK1020001648,103年度本府保全系統維護,<勞務類>873調查及保安服務,限制性招標(未經公開評選或公開徵求),最低標,320000,315000,1,中興保全股份有限公司,花蓮縣(原住民地區),花蓮縣－花蓮,103/01/01－103/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51152300.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_SK1020001648.json
3.76.55|SWC102121101|20140102|BDM-1-51152370,2014,20140102,2013-12-24,3.76.55,花蓮縣政府,SWC102121101,玉里及富里等三件農路暨水保設施改善工程,<工程類>5139其他土木工程,公開招標,最低標,1184287,1070000,1,章昌營造有限公司,花蓮縣(原住民地區),花蓮縣－玉里,102/12/24－103/08/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51152370.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_SWC102121101.json
3.76.55|SWC102121102|20140102|BDM-1-51152780,2014,20140102,2013-12-24,3.76.55,花蓮縣政府,SWC102121102,蕉山農路改善工程,<工程類>5139其他土木工程,公開招標,最低標,1366492,1185000,1,章昌營造有限公司,花蓮縣(原住民地區),花蓮縣－玉里,102/12/24－103/08/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51152780.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_SWC102121102.json
3.76.55|SWC102121103|20140102|BDM-1-51152210,2014,20140102,2013-12-24,3.76.55,花蓮縣政府,SWC102121103,松浦里16鄰農路設施改善工程,<工程類>5139其他土木工程,公開招標,最低標,1546224,1194000,1,建隆營造有限公司,花蓮縣(原住民地區),花蓮縣－玉里,102/12/24－103/08/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51152210.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_SWC102121103.json
3.76.55|swc102121601|20140102|BDM-1-51152087,2014,20140102,2013-12-24,3.76.55,花蓮縣政府,swc102121601,六十石山野溪整治工程,<工程類>5139其他土木工程,公開取得報價單或企劃書,最低標,910941,860000,1,長太土木包工業,花蓮縣(原住民地區),花蓮縣－富里,102/12/24－103/06/30,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51152087.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_swc102121601.json
3.76.55|swc102121602|20140102|BDM-1-51152437,2014,20140102,2013-12-24,3.76.55,花蓮縣政府,swc102121602,102年度第4期100噸灌溉蓄水池工程,<工程類>5139其他土木工程,公開取得報價單或企劃書,最低標,999700,915000,1,一達土木包工業,花蓮縣(原住民地區),"花蓮縣－玉里,花蓮縣－卓溪,花蓮縣－富里",102/12/24－103/08/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51152437.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_swc102121602.json
3.76.55|swc102121604|20140102|BDM-1-51152151,2014,20140102,2013-12-24,3.76.55,花蓮縣政府,swc102121604,安通農路及週邊設施改善工程,<工程類>5139其他土木工程,公開取得報價單或企劃書,最低標,820218,690000,1,盛木土木包工業,花蓮縣(原住民地區),花蓮縣－玉里,102/12/24－103/06/30,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51152151.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_swc102121604.json
3.76.55|swc102121605|20140102|BDM-1-51152560,2014,20140102,2013-12-24,3.76.55,花蓮縣政府,swc102121605,源城里9-11鄰農路改善工程,<工程類>5139其他土木工程,公開取得報價單或企劃書,最低標,541690,506000,1,一達土木包工業,花蓮縣(原住民地區),花蓮縣－玉里,102/12/24－103/08/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51152560.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_swc102121605.json
3.76.55|swc102121606|20140102|BDM-1-51152283,2014,20140102,2013-12-24,3.76.55,花蓮縣政府,swc102121606,高寮十三鄰農路改善工程,<工程類>5139其他土木工程,公開取得報價單或企劃書,最低標,998922,890000,1,盛木土木包工業,花蓮縣(原住民地區),花蓮縣－玉里,102/12/24－103/08/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140102&fn=BDM-1-51152283.xml,data/raw/hualien/2014/tenders/20140102_3.76.55_swc102121606.json
