year,date,stage,unit_id,job_number,issue,raw_file
2020,20200101,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200104,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200105,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200111,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200112,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200118,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200119,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200123,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200124,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200125,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200126,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200127,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200128,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200129,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200201,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200202,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200208,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200209,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200216,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200222,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200223,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200228,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200229,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200301,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200307,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200308,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200314,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200315,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200321,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200322,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200328,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200329,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200402,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200403,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200404,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200405,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200411,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200412,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200418,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200419,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200425,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200426,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200502,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200503,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200509,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200510,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200516,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200517,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200523,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200524,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200530,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200531,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200606,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200607,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200613,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200614,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200621,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200625,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200626,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200627,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200628,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200704,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200705,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200711,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200712,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200718,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200719,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200725,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200726,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200801,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200802,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200808,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2020,20200809,daily,,,非 JSON 回應：text/html; charset=UTF-8,
