year,date,stage,unit_id,job_number,issue,raw_file
2019,20190101,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190105,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190106,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190112,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190113,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190120,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190126,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190127,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190202,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190203,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190204,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190205,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190206,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190207,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190208,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190209,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190210,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190216,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190217,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190224,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190228,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190301,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190302,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190303,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190309,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190310,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190316,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190317,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190323,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190324,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190330,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190331,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190404,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190405,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190406,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190407,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190413,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190414,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190420,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190421,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190427,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190428,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190504,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190505,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190511,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190512,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190518,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190519,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190525,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190526,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190601,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190602,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190607,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190608,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190609,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190615,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190616,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190622,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190623,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190629,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190630,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190705,normalize,3.87.5.92,1080617,缺少可解析的決標金額,data/raw/taichung/2019/tenders/20190705_3.87.5.92_1080617.json
2019,20190706,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190707,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190713,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190714,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2019,20190715,normalize,3.87.7.92,TCFL-108,缺少得標廠商,data/raw/taichung/2019/tenders/20190715_3.87.7.92_TCFL-108.json
