case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.87.10.2|112A-302|20240219|BDM-1-70514434,2024,20240219,2024-02-16,3.87.10.2,臺中市養護工程處,112A-302,113年度大坑山區及鄰近區域道路養護及水溝清理維護工程,"<工程類>5131快速道路(不含高架快速道路),街道,馬路,鐵路及機場跑道",公開招標,最低標,5739201,2309659,1,喬海土木包工業,臺中市(非原住民地區),臺中市－北屯區,113/02/11－113/12/31(預估),,,道路養護,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70514434.xml,data/raw/taichung/2024/tenders/20240219_3.87.10.2_112A-302.json
3.87.14|112B29|20240219|BDM-1-70514058,2024,20240219,2024-02-02,3.87.14,臺中市政府衛生局,112B29,「113年度長照服務專線(1966)委託服務勞務採購案」,<勞務類>931人類衛生服務,經公開評選或公開徵求之限制性招標,準用最有利標,4000000,4000000,1,程曦資訊整合股份有限公司,臺中市(非原住民地區),臺中市－全區,113/02/03－113/12/20(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70514058.xml,data/raw/taichung/2024/tenders/20240219_3.87.14_112B29.json
3.87.14|112B30|20240219|BDM-1-70514057,2024,20240219,2024-02-06,3.87.14,臺中市政府衛生局,112B30,113年度委託專業會計師辦理長照服務單位財務管理查核案,<勞務類>931人類衛生服務,經公開評選或公開徵求之限制性招標,準用最有利標,2360000,2360000,1,安貞聯合會計師事務所,臺中市(非原住民地區),臺中市－全區,113/02/07－113/07/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70514057.xml,data/raw/taichung/2024/tenders/20240219_3.87.14_112B30.json
3.87.14.1|Q113B03|20240219|BDM-1-70513955,2024,20240219,2024-02-02,3.87.14.1,臺中市食品藥物安全處,Q113B03,113年藥局、販賣業藥商及醫療器材商資料檢核暨公共衛生政策宣導委託服務,<勞務類>933社會服務,經公開評選或公開徵求之限制性招標,準用最有利標,2240000,2240000,1,三馬有限公司,臺中市(非原住民地區),臺中市－全區,113/02/02－113/11/30(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70513955.xml,data/raw/taichung/2024/tenders/20240219_3.87.14.1_Q113B03.json
3.87.15|P1121109081|20240219|BDM-1-70514241,2024,20240219,2024-02-16,3.87.15,臺中市政府環境保護局,P1121109081,112年霧峰等掩埋場設施改善工程-委託設計監造技術服務,<勞務類>8672工程服務,經公開評選或公開徵求之限制性招標,準用最有利標,4780000,4749900,1,琥盛工程顧問有限公司,臺中市(非原住民地區),臺中市－全區,113/02/16－114/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70514241.xml,data/raw/taichung/2024/tenders/20240219_3.87.15_P1121109081.json
3.87.24.2|E1121229-6|20240219|BDM-1-70514279,2024,20240219,2024-02-05,3.87.24.2,臺中市就業服務處,E1121229-6,臺中市政府113年度現場徵才活動計畫,<勞務類>879其他商業服務,經公開評選或公開徵求之限制性招標,準用最有利標,4360000,4360000,1,紳昱祥創意有限公司,臺中市(非原住民地區),臺中市－全區,113/02/05－113/11/15,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70514279.xml,data/raw/taichung/2024/tenders/20240219_3.87.24.2_E1121229-6.json
3.87.24.2|E1130105-1|20240219|BDM-1-70514281,2024,20240219,2024-02-05,3.87.24.2,臺中市就業服務處,E1130105-1,臺中市政府「113年度職業適性診斷計畫」,<勞務類>866與管理顧問有關之服務,經公開評選或公開徵求之限制性招標,準用最有利標,2828211,2828211,1,就業情報資訊股份有限公司,臺中市(非原住民地區),臺中市－全區,113/02/05－113/11/15,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70514281.xml,data/raw/taichung/2024/tenders/20240219_3.87.24.2_E1130105-1.json
3.87.27.1|1130112|20240219|BDM-1-70514042,2024,20240219,2024-02-05,3.87.27.1,臺中市動物保護防疫處,1130112,113年度臺中市1959動物保護專線非上班時段 話務及動保案件勞務承攬採購案,<勞務類>97其他服務,經公開評選或公開徵求之限制性招標,準用最有利標,2200000,2120000,1,城郭企業社,臺中市(非原住民地區),臺中市－全區,113/02/06－113/07/17(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70514042.xml,data/raw/taichung/2024/tenders/20240219_3.87.27.1_1130112.json
3.87.29.6|11301030186|20240219|BDM-1-70514284,2024,20240219,2024-02-16,3.87.29.6,臺中市公共運輸及捷運工程處,11301030186,2024大型與臨時性活動及緊急應變公車接駁計畫,<勞務類>71陸地運輸服務,公開招標,最低標,7000000,5288000,4,平安歸通運股份有限公司；元盟交通有限公司；鉅國通運有限公司；全奕通運有限公司,臺中市(非原住民地區),臺中市－全區,113/02/16－114/01/10(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70514284.xml,data/raw/taichung/2024/tenders/20240219_3.87.29.6_11301030186.json
3.87.3|1130123|20240219|BDM-1-70513926,2024,20240219,2024-01-30,3.87.3,臺中市政府財政局,1130123,113年度臺中市政府財政局經管市有非公用土地樹木修剪(砍除)及雜草雜木清理,<勞務類>97其他服務,公開取得報價單或企劃書,最低標,700000,489520,1,富聖景觀有限公司,臺中市(非原住民地區),其他－其他,113/01/30－113/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70513926.xml,data/raw/taichung/2024/tenders/20240219_3.87.3_1130123.json
3.87.30|TTB113010|20240219|BDM-1-70513753,2024,20240219,2024-02-16,3.87.30,臺中市政府觀光旅遊局,TTB113010,113年度國內旅展參展行銷推廣案,"<勞務類>96娛樂,文化,體育服務",經公開評選或公開徵求之限制性招標,準用最有利標,3000000,2998000,1,傑森全球整合行銷股份有限公司,其他,"臺北市－全區,臺中市－全區,高雄市－全區",113/02/16－113/12/06(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70513753.xml,data/raw/taichung/2024/tenders/20240219_3.87.30_TTB113010.json
3.87.30|TTB113011|20240219|BDM-1-70513752,2024,20240219,2024-02-16,3.87.30,臺中市政府觀光旅遊局,TTB113011,113年度臺中市觀光遊憩區天然災害緊急搶修搶險工程委託設計監造技術服務,<勞務類>8672工程服務,公開取得報價單或企劃書,參考最有利標精神,437811,424677,1,盛偉工程顧問有限公司,臺中市(非原住民地區),臺中市－全區,113/02/16－113/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70513752.xml,data/raw/taichung/2024/tenders/20240219_3.87.30_TTB113011.json
3.87.30|TTB113013|20240219|BDM-1-70513750,2024,20240219,2024-02-16,3.87.30,臺中市政府觀光旅遊局,TTB113013,113年度后豐鐵馬道九號隧道監測作業,<勞務類>8676技術檢定與分析服務,公開取得報價單或企劃書,參考最有利標精神,700000,696858,1,台灣整合防災工程技術顧問有限公司,臺中市(非原住民地區),"臺中市－豐原區,臺中市－后里區",113/02/16－113/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70513750.xml,data/raw/taichung/2024/tenders/20240219_3.87.30_TTB113013.json
3.87.32|113AE033|20240219|BDM-1-70513870,2024,20240219,2024-02-06,3.87.32,臺中市政府消防局,113AE033,113年高階救護器材採購案,<財物類>352醫藥產品,公開招標,最低標,1159000,912000,1,亞博實業股份有限公司,臺中市(非原住民地區),臺中市－全區,113/02/15－113/07/13(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240219&fn=BDM-1-70513870.xml,data/raw/taichung/2024/tenders/20240219_3.87.32_113AE033.json
3.87.4.98|11303|20240219|aaa-70514946,2024,20240219,2024-02-17,3.87.4.98,臺中市立后綜高級中學,11303,112學年度高中優質化資本門專案計畫及經常門物品合併採購案,<財物類>452計算機及其零件與配件,公開取得報價單或企劃書,最低標,550000,532000,1,禾仲科技股份有限公司,臺中市(非原住民地區),臺中市－后里區,113/02/19－113/03/07(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzA1MTQ5NDY=,data/raw/taichung/2024/tenders/20240219_3.87.4.98_11303.json
3.87.40|A11200032|20240219|aaa-70515155,2024,20240219,2024-02-02,3.87.40,臺中捷運股份有限公司,A11200032,油污清潔布等57項採購(開口契約),<財物類>354未明列於其他章節之化學產品,公開取得報價單或企劃書,最低標,569631,438887,1,五豐有限公司,臺中市(非原住民地區),臺中市－北屯區,113/02/03－113/12/31,,,,0,1,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzA1MTUxNTU=,data/raw/taichung/2024/tenders/20240219_3.87.40_A11200032.json
3.87.40|B11200076|20240219|aaa-70515230,2024,20240219,2024-01-31,3.87.40,臺中捷運股份有限公司,B11200076,作業環境監測工作（開口契約）,<勞務類>8676技術檢定與分析服務,公開取得報價單或企劃書,最低標,448954,287671,1,九連環境開發股份有限公司,臺中市(非原住民地區),中部地區－全區,113/03/01－114/12/31(預估),,,,0,1,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzA1MTUyMzA=,data/raw/taichung/2024/tenders/20240219_3.87.40_B11200076.json
3.87.5.63|113002|20240219|aaa-70514870,2024,20240219,2024-02-17,3.87.5.63,臺中市立中山國民中學,113002,112學年度二年級童軍體驗營及三年級戶外教學活動,<勞務類>92教育服務,公開取得報價單或企劃書,參考最有利標精神,935000,928900,1,南和觀光旅行社股份有限公司,臺中市(非原住民地區),臺中市－西屯區,113/02/17－113/11/03(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzA1MTQ4NzA=,data/raw/taichung/2024/tenders/20240219_3.87.5.63_113002.json
