year,date,stage,unit_id,job_number,issue,raw_file
2021,20210101,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210102,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210103,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210104,normalize,3.87.14.1,Q109D09,缺少得標廠商,data/raw/taichung/2021/tenders/20210104_3.87.14.1_Q109D09.json
2021,20210109,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210110,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210116,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210117,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210121,normalize,3.87.32,110AV003,找不到對應案件詳情,data/raw/taichung/2021/tenders/20210121_3.87.32_110AV003.json
2021,20210121,normalize,3.87.32,110AV003,找不到對應案件詳情,data/raw/taichung/2021/tenders/20210121_3.87.32_110AV003.json
2021,20210121,normalize,3.87.32,110AV003,缺少可解析的決標金額,data/raw/taichung/2021/tenders/20210121_3.87.32_110AV003.json
2021,20210121,normalize,3.87.32,110AV003,缺少可解析的決標金額,data/raw/taichung/2021/tenders/20210121_3.87.32_110AV003.json
2021,20210123,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210124,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210130,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210131,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210204,normalize,3.87.59,110004,缺少可解析的決標金額,data/raw/taichung/2021/tenders/20210204_3.87.59_110004.json
2021,20210206,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210207,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210210,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210211,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210212,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210213,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210214,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210215,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210216,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210221,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210227,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210228,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210301,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210306,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210307,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210313,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210314,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210320,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210321,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210327,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210328,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210402,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210403,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210404,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210405,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210410,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210411,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2021,20210412,normalize,3.87.14.1,Q110B02,找不到對應案件詳情,data/raw/taichung/2021/tenders/20210412_3.87.14.1_Q110B02.json
