case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.87.5.77|11106-1|20220719|BDM-1-70039659,2022,20220719,2022-07-18,3.87.5.77,臺中市立潭子國民中學,11106-1,111學年度學生午餐團膳暨水果採購案,"<財物類>21肉類,魚,果實,蔬菜,及油脂",公開招標,最有利標,5654330,5654330,2,昱品美食股份有限公司；飪珍記食品股份有限公司,臺中市(非原住民地區),臺中市－潭子區,111/08/30－112/07/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220719&fn=BDM-1-70039659.xml,data/raw/taichung/2022/tenders/20220719_3.87.5.77_11106-1.json
3.87.5.96|11108|20220719|aaa-70041038,2022,20220719,2022-07-14,3.87.5.96,臺中市立日南國民中學,11108,臺中市立日南國民中學110學年教育部國教署補助實施戶外與海洋教育計畫,<財物類>384運動商品,公開取得電子報價單,最低標,175975,174000,1,今日自轉車店,臺中市(非原住民地區),臺中市－大甲區,111/07/15－111/08/25(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNDEwMzg=,data/raw/taichung/2022/tenders/20220719_3.87.5.96_11108.json
3.87.5.98|wfjh-11101|20220719|aaa-70040651,2022,20220719,2022-07-15,3.87.5.98,臺中市立霧峰國民中學,wfjh-11101,111年度學生木製課桌椅採購案,"<財物類>31木製品,軟木製品,草及編結材料產品",公開取得報價單或企劃書,參考最有利標精神,560000,560000,1,三弘木業有限公司,臺中市(非原住民地區),臺中市－全區,111/07/15－111/10/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNDA2NTE=,data/raw/taichung/2022/tenders/20220719_3.87.5.98_wfjh-11101.json
3.87.6.16|1110706|20220719|BDM-1-70040155,2022,20220719,2022-07-06,3.87.6.16,臺中市立立新國民中學,1110706,111年度充實體育器材設備採購案,<財物類>389其他製造商品,公開取得報價單或企劃書,最有利標,228571,227000,1,隆陞國際有限公司,臺中市(非原住民地區),臺中市－大里區,111/07/06－111/08/04,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220719&fn=BDM-1-70040155.xml,data/raw/taichung/2022/tenders/20220719_3.87.6.16_1110706.json
3.87.66|111-062901|20220719|aaa-70040497,2022,20220719,2022-07-11,3.87.66,臺中市梧棲區公所,111-062901,臺中市梧棲區活動中心會議桌、折合椅設備採購案,<財物類>381傢具,公開取得電子報價單,最低標,219400,183340,1,銘政興業科技有限公司,臺中市(非原住民地區),臺中市－梧棲區,111/07/13－111/08/10(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNDA0OTc=,data/raw/taichung/2022/tenders/20220719_3.87.66_111-062901.json
3.87.7.54|hwes1110701|20220719|aaa-70041763,2022,20220719,2022-07-14,3.87.7.54,臺中市南屯區惠文國民小學,hwes1110701,111年臺中市第十二屆全市運動大會獎品,<財物類>389其他製造商品,公開取得報價單或企劃書,參考最有利標精神,295595,295595,1,永登豐企業有限公司,臺中市(非原住民地區),臺中市－南屯區,111/07/14－111/08/10,,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNDE3NjM=,data/raw/taichung/2022/tenders/20220719_3.87.7.54_hwes1110701.json
3.87.7.6|1110620|20220719|BDM-1-70040095,2022,20220719,2022-07-18,3.87.7.6,臺中市東區力行國民小學,1110620,臺中市東區力行國民小學、北區太平國民小學111學年度學生午餐公辦民營服務採購案,<勞務類>642提供食物服務,經公開評選或公開徵求之限制性招標,準用最有利標,21470850,21470850,1,佳愛餐盒食品廠,臺中市(非原住民地區),臺中市－東區,111/08/01－112/07/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220719&fn=BDM-1-70040095.xml,data/raw/taichung/2022/tenders/20220719_3.87.7.6_1110620.json
3.87.7.96|1110713|20220719|aaa-70040821,2022,20220719,2022-07-19,3.87.7.96,臺中市神岡區社口國民小學,1110713,臺中市神岡區社口國民小學111學年度六年級戶外教育服務採購,<勞務類>92教育服務,公開取得報價單或企劃書,參考最有利標精神,441000,437400,1,信達旅行社有限公司,新竹縣(非原住民地區),新竹縣－關西,111/09/05－111/09/09(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNDA4MjE=,data/raw/taichung/2022/tenders/20220719_3.87.7.96_1110713.json
3.87.74|11100714|20220719|aaa-70040994,2022,20220719,2022-07-19,3.87.74,臺中市龍井區公所,11100714,臺中市龍井區登山步道遊憩區附屬設施新建改建工程委託設計監造技術服務,<勞務類>8672工程服務,公開取得報價單或企劃書,參考最有利標精神,859436,859436,1,鴻旭工程顧問有限公司,臺中市(非原住民地區),臺中市－龍井區,111/07/22－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNDA5OTQ=,data/raw/taichung/2022/tenders/20220719_3.87.74_11100714.json
3.87.8.26|LG1110713|20220719|BDM-1-70039987,2022,20220719,2022-07-18,3.87.8.26,臺中市龍井區龍津國民小學,LG1110713,臺中市龍津國民小學111學年度幼兒園幼童委外中餐食材及點心食材採購,"<財物類>21肉類,魚,果實,蔬菜,及油脂",公開取得報價單或企劃書,最有利標,608000,608000,1,美麗人生空中超市股份有限公司,臺中市(非原住民地區),臺中市－龍井區,111/08/30－112/06/30(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220719&fn=BDM-1-70039987.xml,data/raw/taichung/2022/tenders/20220719_3.87.8.26_LG1110713.json
