year,date,stage,unit_id,job_number,issue,raw_file
2022,20220101,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220102,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220108,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220109,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220115,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220116,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220123,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220129,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220130,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220131,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220201,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220202,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220203,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220204,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220205,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220206,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220212,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220213,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220215,normalize,3.87.60,111dali011,缺少得標廠商,data/raw/taichung/2022/tenders/20220215_3.87.60_111dali011.json
2022,20220219,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220220,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220225,normalize,3.87.15,N1110125022,找不到對應案件詳情,data/raw/taichung/2022/tenders/20220225_3.87.15_N1110125022.json
2022,20220225,normalize,3.87.15,N1110125022,找不到對應案件詳情,data/raw/taichung/2022/tenders/20220225_3.87.15_N1110125022.json
2022,20220225,normalize,3.87.15,N1110125022,缺少可解析的決標金額,data/raw/taichung/2022/tenders/20220225_3.87.15_N1110125022.json
2022,20220225,normalize,3.87.15,N1110125022,缺少可解析的決標金額,data/raw/taichung/2022/tenders/20220225_3.87.15_N1110125022.json
2022,20220226,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220227,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220228,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220301,normalize,3.87.14,111A01,缺少得標廠商,data/raw/taichung/2022/tenders/20220301_3.87.14_111A01.json
2022,20220305,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220306,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220312,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220313,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220319,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220320,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220326,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220327,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220402,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220403,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220404,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220405,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220409,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220410,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220416,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220417,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220423,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220424,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220430,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2022,20220501,daily,,,非 JSON 回應：text/html; charset=UTF-8,
